Mar  1 19:49:07 cs219-laptop kernel: [   88.406026] rraac1: 06:20:a6:57:ff:32 : tx_count: 22227, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:08 cs219-laptop kernel: [   88.455334] rraac1: 06:20:a6:57:ff:32 : tx_count: 22707, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:49:08 cs219-laptop kernel: [   88.460732] rraac1: 06:20:a6:57:ff:32 : tx_count: 22747, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:08 cs219-laptop kernel: [   88.517783] rraac1: 06:20:a6:57:ff:32 : tx_count: 23267, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:49:08 cs219-laptop kernel: [   88.536761] rraac1: 06:20:a6:57:ff:32 : tx_count: 23387, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 19:49:08 cs219-laptop kernel: [   88.547011] rraac1: 06:20:a6:57:ff:32 : tx_count: 23467, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 19:49:08 cs219-laptop kernel: [   88.568544] rraac1: 06:20:a6:57:ff:32 : tx_count: 23667, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:09 cs219-laptop kernel: [   88.608054] rraac1: 06:20:a6:57:ff:32 : tx_count: 24027, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:49:09 cs219-laptop kernel: [   88.613298] rraac1: 06:20:a6:57:ff:32 : tx_count: 24067, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 19:49:09 cs219-laptop kernel: [   88.630226] rraac1: 06:20:a6:57:ff:32 : tx_count: 24187, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 19:49:09 cs219-laptop kernel: [   88.634180] rraac1: 06:20:a6:57:ff:32 : tx_count: 24227, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:09 cs219-laptop kernel: [   88.700236] rraac1: 06:20:a6:57:ff:32 : tx_count: 24747, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:49:09 cs219-laptop kernel: [   88.713137] rraac1: 06:20:a6:57:ff:32 : tx_count: 24867, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:09 cs219-laptop kernel: [   88.725570] rraac1: 06:20:a6:57:ff:32 : tx_count: 24987, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:49:09 cs219-laptop kernel: [   88.734042] rraac1: 06:20:a6:57:ff:32 : tx_count: 25027, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:49:10 cs219-laptop kernel: [   88.747754] rraac1: 06:20:a6:57:ff:32 : tx_count: 25147, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:49:10 cs219-laptop kernel: [   88.778646] rraac1: 06:20:a6:57:ff:32 : tx_count: 25387, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:10 cs219-laptop kernel: [   88.787324] rraac1: 06:20:a6:57:ff:32 : tx_count: 25467, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:49:10 cs219-laptop kernel: [   88.791820] rraac1: 06:20:a6:57:ff:32 : tx_count: 25507, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:10 cs219-laptop kernel: [   88.817510] rraac1: 06:20:a6:57:ff:32 : tx_count: 25747, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:49:10 cs219-laptop kernel: [   88.825662] rraac1: 06:20:a6:57:ff:32 : tx_count: 25827, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:10 cs219-laptop kernel: [   88.857235] rraac1: 06:20:a6:57:ff:32 : tx_count: 26107, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 19:49:10 cs219-laptop kernel: [   88.866411] rraac1: 06:20:a6:57:ff:32 : tx_count: 26187, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:49:10 cs219-laptop kernel: [   88.870588] rraac1: 06:20:a6:57:ff:32 : tx_count: 26227, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:49:11 cs219-laptop kernel: [   88.900219] rraac1: 06:20:a6:57:ff:32 : tx_count: 26427, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:49:11 cs219-laptop kernel: [   88.918290] rraac1: 06:20:a6:57:ff:32 : tx_count: 26547, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:49:11 cs219-laptop kernel: [   88.921917] rraac1: 06:20:a6:57:ff:32 : tx_count: 26587, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:11 cs219-laptop kernel: [   88.955353] rraac1: 06:20:a6:57:ff:32 : tx_count: 26907, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:49:11 cs219-laptop kernel: [   88.972858] rraac1: 06:20:a6:57:ff:32 : tx_count: 27067, tx_rate: 54M, loss ratio: 0, window size: 40
