Feb 26 17:46:31 cs219-laptop kernel: [ 1329.154571] rraa: 06:20:a6:57:ff:32 : tx_count: 5961, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.159857] rraa: 06:20:a6:57:ff:32 : tx_count: 6001, tx_rate: 48M, loss ratio: 21, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.164322] rraa: 06:20:a6:57:ff:32 : tx_count: 6041, tx_rate: 48M, loss ratio: 16, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.169250] rraa: 06:20:a6:57:ff:32 : tx_count: 6081, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.174423] rraa: 06:20:a6:57:ff:32 : tx_count: 6121, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.182418] rraa: 06:20:a6:57:ff:32 : tx_count: 6161, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.187992] rraa: 06:20:a6:57:ff:32 : tx_count: 6201, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.192541] rraa: 06:20:a6:57:ff:32 : tx_count: 6241, tx_rate: 48M, loss ratio: 6, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.197751] rraa: 06:20:a6:57:ff:32 : tx_count: 6281, tx_rate: 48M, loss ratio: 16, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.202060] rraa: 06:20:a6:57:ff:32 : tx_count: 6321, tx_rate: 54M, loss ratio: 4, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.206072] rraa: 06:20:a6:57:ff:32 : tx_count: 6361, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.210250] rraa: 06:20:a6:57:ff:32 : tx_count: 6401, tx_rate: 48M, loss ratio: 16, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.216057] rraa: 06:20:a6:57:ff:32 : tx_count: 6441, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.219891] rraa: 06:20:a6:57:ff:32 : tx_count: 6481, tx_rate: 48M, loss ratio: 9, window size: 40
